database,ambition_view,Region,model_family,metric,label,unit,Pathway,n,median
Full,1.5C,R10AFRICA,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,4,2.6914874054839704
Full,1.5C,R10AFRICA,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,1,0.19289370953319296
Full,1.5C,R10AFRICA,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,4,2.674689304409301
Full,1.5C,R10AFRICA,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,1,0.10666065237424859
Full,1.5C,R10AFRICA,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,4,0.11128611414160666
Full,1.5C,R10AFRICA,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,1,0.02507292494479703
Full,1.5C,R10AFRICA,POLES,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,4,5227.671779975039
Full,1.5C,R10AFRICA,POLES,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,1,125.69023871421814
Full,1.5C,R10AFRICA,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,4,349.3863128864549
Full,1.5C,R10AFRICA,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,1,323.39269783091237
Full,1.5C,R10AFRICA,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,4,451.47707153590625
Full,1.5C,R10AFRICA,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,1,398.1616693555493
Full,1.5C,R10AFRICA,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,4,454.15652326007887
Full,1.5C,R10AFRICA,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,1,398.3545630650825
Full,1.5C,R10AFRICA,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,1,1.5718062679862652
Full,1.5C,R10AFRICA,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,59,4.581011636407215
Full,1.5C,R10AFRICA,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,1,1.637652019563249
Full,1.5C,R10AFRICA,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,59,5.385592416717345
Full,1.5C,R10AFRICA,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,1,0.013617448053206154
