family,Model,Scenario,project,amb,classification_state,cdr_all,cdr_cutoff,cdr_ratio_to_cutoff,cdr_percentile,renewables,re_cutoff,re_ratio_to_cutoff,re_percentile
REMIND,REMIND 3.0,ENGAGE-Feasibility-1000/Institutional,ENGAGE,2C,High-RE,34321.630988849996,550795.0699210565,0.06231288706663477,0.11085714285714286,3980198.649973,1914001.2595672116,2.0795172574092198,0.9588571428571429
REMIND,REMIND 3.0,ENGAGE-Feasibility-1000/Technology,ENGAGE,2C,High-RE,32972.674677,550795.0699210565,0.059863779611763514,0.10628571428571429,4156929.69768705,1914001.2595672116,2.171853167237206,0.984
REMIND,REMIND 3.0,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,ENGAGE,2C,High-RE,19803.94944745,550795.0699210565,0.035955204628626086,0.08457142857142858,2165859.7216132,1914001.2595672116,1.1315874066367844,0.7851428571428571
REMIND,REMIND 3.0,ENGAGE-Feasibility-1000/Technology & Institutional,ENGAGE,2C,High-RE,23061.03983755,550795.0699210565,0.04186863880400247,0.09485714285714286,4077126.83484895,1914001.2595672116,2.1301589089710724,0.9771428571428571
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional [Pessimistic],ENGAGE,2C,High-RE,21610.82170745,550795.0699210565,0.03923568471763446,0.09142857142857143,1969648.70213995,1914001.2595672116,1.029073879807854,0.7108571428571429
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Institutional,ENGAGE,2C,High-RE,24547.6684274,550795.0699210565,0.04456769816570495,0.10057142857142858,3966883.91027095,1914001.2595672116,2.072560762665292,0.9577142857142857
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Institutional [Optimistic],ENGAGE,2C,High-RE,23462.58666565,550795.0699210565,0.04259767007176155,0.09714285714285714,3993678.98605625,1914001.2595672116,2.086560270581687,0.9645714285714285
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Institutional [Pessimistic],ENGAGE,2C,High-RE,22603.64075995,550795.0699210565,0.04103820457795619,0.09257142857142857,3983835.80467205,1914001.2595672116,2.0814175459700914,0.96
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Enablers & Institutional [Pessimistic],ENGAGE,2C,High-RE,12993.77017115,550795.0699210565,0.023590934052863527,0.07542857142857143,2057754.55293045,1914001.2595672116,1.0751061644524431,0.7565714285714286
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional,ENGAGE,2C,High-RE,18039.13965925,550795.0699210565,0.03275109136658664,0.08342857142857144,4170242.35033025,1914001.2595672116,2.178808571564479,0.9874285714285714
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Optimistic],ENGAGE,2C,High-RE,16967.31375425,550795.0699210565,0.030805130039892815,0.08,4152446.4340806,1914001.2595672116,2.1695108157972367,0.9817142857142858
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Pessimistic],ENGAGE,2C,High-RE,7533.56272135,550795.0699210565,0.013677614656989865,0.07085714285714285,4058484.5269602,1914001.2595672116,2.1204189426071185,0.976
REMIND,REMIND 3.0,NAVIGATE Demand-1.5°C-act_u,NAVIGATE,1.5C,High both - excluded,923519.12622745,565430.0377324205,1.633303971488845,0.8744588744588745,2759949.0261945,2704533.9788519694,1.020489684276791,0.6883116883116883
REMIND,REMIND 3.0,NAVIGATE Demand-1.5°C-ele_u,NAVIGATE,1.5C,High both - excluded,711417.4430887,565430.0377324205,1.2581882737283323,0.7792207792207793,2933947.4904765002,2704533.9788519694,1.0848255238863418,0.7056277056277056
REMIND,REMIND 3.0,NAVIGATE Demand-1.5°C-ref,NAVIGATE,1.5C,High both - excluded,982770.8143446,565430.0377324205,1.7380944568949102,0.9004329004329005,3229958.74489325,2704533.9788519694,1.194275527743347,0.7316017316017316
REMIND,REMIND 3.0,NAVIGATE Demand-1.5°C-tec_u,NAVIGATE,1.5C,High both - excluded,908532.6880438,565430.0377324205,1.6067994754706445,0.8658008658008658,2713943.07644685,2704533.9788519694,1.0034790088305248,0.6796536796536796
REMIND,REMIND 3.0,NAVIGATE Demand-1.5°C-all_u,NAVIGATE,1.5C,High-CDR,670689.67714215,565430.0377324205,1.1861585561174974,0.70995670995671,2201562.27508765,2704533.9788519694,0.8140264800896224,0.5108225108225108
REMIND,REMIND 3.0,NAVIGATE Demand-2.0°C-ref,NAVIGATE,2C,High both - excluded,579167.61483675,550795.0699210565,1.0515119805261874,0.7222857142857143,3042790.46845805,1914001.2595672116,1.5897536395279472,0.8674285714285714
REMIND,REMIND 3.0,NAVIGATE Demand-2.0°C-act_u,NAVIGATE,2C,High-RE,537471.2100091,550795.0699210565,0.9758097691145526,0.6457142857142857,2568833.99309515,1914001.2595672116,1.3421276398093946,0.8285714285714286
REMIND,REMIND 3.0,NAVIGATE Demand-2.0°C-all_u,NAVIGATE,2C,High-RE,357998.91795040003,550795.0699210565,0.6499675423778044,0.456,2120410.0378795,1914001.2595672116,1.1078415059972118,0.7782857142857142
REMIND,REMIND 3.0,NAVIGATE Demand-2.0°C-ele_u,NAVIGATE,2C,High-RE,389535.9559031,550795.0699210565,0.7072248412806796,0.49714285714285716,2831991.32469335,1914001.2595672116,1.4796183181894622,0.8537142857142858
REMIND,REMIND 3.0,NAVIGATE Demand-2.0°C-tec_u,NAVIGATE,2C,High-RE,541595.00657905,550795.0699210565,0.9832967580059765,0.6514285714285715,2519463.2892285,1914001.2595672116,1.3163331406574903,0.8251428571428572
REMIND,REMIND 3.0,NAVIGATE Demand-NPi-act,NAVIGATE,2C,High-RE,85325.1173523,550795.0699210565,0.15491263813332487,0.19085714285714286,1956865.89781265,1914001.2595672116,1.02239530304966,0.6994285714285714
REMIND,REMIND 3.0,NAVIGATE Demand-NPi-ele,NAVIGATE,2C,High-RE,73755.3308959,550795.0699210565,0.1339070280830057,0.18514285714285714,2467886.45486775,1914001.2595672116,1.2893860140017783,0.8194285714285714
REMIND,REMIND 3.0,NAVIGATE Demand-NPi-ref,NAVIGATE,2C,High-RE,126033.04503015001,550795.0699210565,0.22882021265770203,0.21942857142857142,2296423.90940395,1914001.2595672116,1.199802715868228,0.8034285714285714
REMIND,REMIND 3.0,NAVIGATE Demand-NPi-all,NAVIGATE,2C,Low both - excluded,82117.28715205,550795.0699210565,0.14908863865433578,0.18857142857142858,1852638.58116535,1914001.2595672116,0.9679401055275498,0.6228571428571429
REMIND,REMIND 3.0,NAVIGATE Demand-NPi-tec,NAVIGATE,2C,Low both - excluded,84054.7513064,550795.0699210565,0.15260621580808134,0.18971428571428572,1888488.5930791,1914001.2595672116,0.9866705069494675,0.6502857142857142
REMIND,REMIND 3.5,Rescuing-1.5°C-Highest-Possible-Ambition,Rescuing,2C,High both - excluded,920235.1889678999,550795.0699210565,1.6707396983415155,0.9634285714285714,6241631.492633699,1914001.2595672116,3.2610383412417603,1
REMIND,REMIND-Buildings 2.0,BEG-600,BEG,1.5C,High-RE,148287.51919999998,565430.0377324205,0.2622561754849224,0.16017316017316016,4154625.69655,2704533.9788519694,1.5361706412405922,0.8658008658008658
REMIND,REMIND-Buildings 2.0,BEG-600-Efficiency,BEG,1.5C,High-RE,140415.7673,565430.0377324205,0.24833446744909088,0.14285714285714285,3713858.9228000003,2704533.9788519694,1.3731973611130126,0.7835497835497836
REMIND,REMIND-Buildings 2.0,BEG-Baseline,BEG,2C,Low both - excluded,0,550795.0699210565,0,0,1890047.7282,1914001.2595672116,0.9874851015653836,0.6514285714285715
REMIND,REMIND-Buildings 2.0,BEG-Efficiency,BEG,2C,Low both - excluded,0,550795.0699210565,0,0,1554698.9767,1914001.2595672116,0.8122768827495672,0.4034285714285714
REMIND,REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDC2030i_1000,CD,1.5C,High-RE,347923.49935,565430.0377324205,0.6153254622716886,0.2943722943722944,4117866.7538,2704533.9788519694,1.5225790417127492,0.8571428571428571
REMIND,REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDC2030i_400,CD,1.5C,High-RE,414258.0881,565430.0377324205,0.7326425206579494,0.4458874458874459,4473398.0807,2704533.9788519694,1.654036560708653,0.922077922077922
REMIND,REMIND-MAgPIE 1.7-3.0,CD-LINKS-NPi2020_1000,CD,1.5C,High-RE,349442.97524999996,565430.0377324205,0.6180127547722668,0.2987012987012987,4357545.6745,2704533.9788519694,1.6112001951440473,0.9090909090909091
REMIND,REMIND-MAgPIE 1.7-3.0,CD-LINKS-NPi2020_400,CD,1.5C,High-RE,389362.29465,565430.0377324205,0.6886126817943454,0.38961038961038963,4020658.8722,2704533.9788519694,1.4866364792010136,0.8354978354978355
REMIND,REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDC2030i_1600,CD,2C,High-RE,411190.7973,550795.0699210565,0.7465404462660395,0.5154285714285715,4021641.0231,1914001.2595672116,2.101169475724045,0.9691428571428572
REMIND,REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDCi,CD,2C,High-RE,178813.41885000002,550795.0699210565,0.3246460046848798,0.2948571428571429,3053412.4813,1914001.2595672116,1.595303276859091,0.8685714285714285
REMIND,REMIND-MAgPIE 1.7-3.0,CD-LINKS-NPi,CD,2C,High-RE,17091.31915,550795.0699210565,0.03103026893913491,0.08114285714285714,2799267.7638,1914001.2595672116,1.4625213801755605,0.8514285714285714
