database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,High-CMT,High-RE,n_High-CMT,n_High-RE,raw_advantage_high_re,direction
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10EUROPE,headcount_pct,0.01025371363230768,0.006060435423473438,226,230,0.0041932782088342415,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10INDIA+,gap_GJ_pc,0.7450026250482664,0.29378195031254184,223,230,0.4512206747357246,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10INDIA+,headcount_pct,0.4336909084849949,0.23510179614359028,223,230,0.19858911234140464,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10LATIN_AM,gap_GJ_pc,21.88235439069064,16.311648841445297,226,230,5.570705549245343,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10LATIN_AM,headcount_pct,6.34698064485179,4.56622979492059,226,230,1.7807508499312004,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10MIDDLE_EAST,gap_GJ_pc,0.23732931581532243,0.8511221917671259,223,230,-0.6137928759518034,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10MIDDLE_EAST,headcount_pct,0.20180058133182754,0.2952597819266446,223,230,-0.09345920059481705,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10NORTH_AM,gap_GJ_pc,0.005095487980833392,0.005421277069398262,226,230,-3.257890885648698e-4,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10NORTH_AM,headcount_pct,0.0018738748455914061,0.002375765072766819,226,230,-5.018902271754131e-4,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10PAC_OECD,gap_GJ_pc,0.016499636955814665,0.03543417025985124,223,226,-0.018934533304036574,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10PAC_OECD,headcount_pct,0.007854675353632637,0.025988960792197202,223,226,-0.018134285438564567,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10REF_ECON,gap_GJ_pc,1.3387452177377122,1.50811167395469,226,230,-0.16936645621697788,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10REF_ECON,headcount_pct,0.5004934059721537,0.5309597671379789,226,230,-0.03046636116582513,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10REST_ASIA,gap_GJ_pc,1.7648309019947632,4.189791635926754,223,230,-2.424960733931991,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10REST_ASIA,headcount_pct,1.279614662517106,1.481607005965861,223,230,-0.20199234344875494,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,All ambitions,Aggregated R10 regions,gap_GJ_pc,5.869516455406407,4.399978568873245,293,297,1.4695378865331614,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,All ambitions,Aggregated R10 regions,headcount_pct,2.1303968183888244,1.537741439019427,293,297,0.5926553793693974,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,All ambitions,R10AFRICA,gap_GJ_pc,16.28686482435841,9.84083545862027,290,297,6.44602936573814,High-RE
