database,ambition_view,Region,family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,comparable,robust,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_relative_effect_pct,pooled_favours,agrees_with_pooled
Full,1.5C,R10LATIN_AM,WITCH,6,0,15.2153325,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-2.816424218897393,High-CDR,FALSE
Full,1.5C,R10MIDDLE_EAST,AIM,1,0,42.889415,NA,NA,FALSE,FALSE,NA,NA,NA,NA,16.34217568544139,High-RE,FALSE
Full,1.5C,R10MIDDLE_EAST,GCAM,0,1,NA,44.78591,NA,FALSE,FALSE,NA,NA,NA,NA,16.34217568544139,High-RE,FALSE
Full,1.5C,R10MIDDLE_EAST,IMAGE,23,0,43.48305,NA,NA,FALSE,FALSE,NA,NA,NA,NA,16.34217568544139,High-RE,FALSE
Full,1.5C,R10MIDDLE_EAST,MESSAGEix,23,3,58.88863,53.47191,-1,TRUE,TRUE,5.416719999999998,9.198244211149076,1,High-RE,16.34217568544139,High-RE,TRUE
Full,1.5C,R10MIDDLE_EAST,POLES,4,0,42.866065000000006,NA,NA,FALSE,FALSE,NA,NA,NA,NA,16.34217568544139,High-RE,FALSE
Full,1.5C,R10MIDDLE_EAST,REMIND,0,50,NA,46.237995,NA,FALSE,FALSE,NA,NA,NA,NA,16.34217568544139,High-RE,FALSE
Full,1.5C,R10MIDDLE_EAST,WITCH,6,0,67.4981375,NA,NA,FALSE,FALSE,NA,NA,NA,NA,16.34217568544139,High-RE,FALSE
Full,1.5C,R10NORTH_AM,AIM,1,0,10.61145,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-20.183673991455827,High-CDR,FALSE
Full,1.5C,R10NORTH_AM,GCAM,0,1,NA,11.61245,NA,FALSE,FALSE,NA,NA,NA,NA,-20.183673991455827,High-CDR,FALSE
Full,1.5C,R10NORTH_AM,IMAGE,23,0,9.38093,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-20.183673991455827,High-CDR,FALSE
Full,1.5C,R10NORTH_AM,MESSAGEix,23,3,6.399125,7.132085,0.4782608695652174,TRUE,TRUE,-0.7329600000000003,-11.45406598558397,-0.4782608695652174,High-CDR,-20.183673991455827,High-CDR,TRUE
Full,1.5C,R10NORTH_AM,POLES,4,0,6.451639999999999,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-20.183673991455827,High-CDR,FALSE
Full,1.5C,R10NORTH_AM,REMIND,0,50,NA,8.92639,NA,FALSE,FALSE,NA,NA,NA,NA,-20.183673991455827,High-CDR,FALSE
Full,1.5C,R10NORTH_AM,WITCH,6,0,10.61156,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-20.183673991455827,High-CDR,FALSE
Full,1.5C,R10PAC_OECD,AIM,1,0,6.275335,NA,NA,FALSE,FALSE,NA,NA,NA,NA,31.188455493641946,High-RE,FALSE
Full,1.5C,R10PAC_OECD,GCAM,0,1,NA,5.82445,NA,FALSE,FALSE,NA,NA,NA,NA,31.188455493641946,High-RE,FALSE
Full,1.5C,R10PAC_OECD,IMAGE,23,0,5.57828,NA,NA,FALSE,FALSE,NA,NA,NA,NA,31.188455493641946,High-RE,FALSE
Full,1.5C,R10PAC_OECD,MESSAGEix,23,3,5.08591,4.950955,-1,TRUE,TRUE,0.13495499999999971,2.6535074352475703,1,High-RE,31.188455493641946,High-RE,TRUE
Full,1.5C,R10PAC_OECD,POLES,4,0,4.3135075,NA,NA,FALSE,FALSE,NA,NA,NA,NA,31.188455493641946,High-RE,FALSE
Full,1.5C,R10PAC_OECD,REMIND,0,50,NA,3.597365,NA,FALSE,FALSE,NA,NA,NA,NA,31.188455493641946,High-RE,FALSE
Full,1.5C,R10PAC_OECD,WITCH,6,0,5.26554,NA,NA,FALSE,FALSE,NA,NA,NA,NA,31.188455493641946,High-RE,FALSE
Full,1.5C,R10REF_ECON,AIM,1,0,15.51442,NA,NA,FALSE,FALSE,NA,NA,NA,NA,5.769811042902265,High-RE,FALSE
Full,1.5C,R10REF_ECON,GCAM,0,1,NA,15.03955,NA,FALSE,FALSE,NA,NA,NA,NA,5.769811042902265,High-RE,FALSE
Full,1.5C,R10REF_ECON,IMAGE,23,0,13.85288,NA,NA,FALSE,FALSE,NA,NA,NA,NA,5.769811042902265,High-RE,FALSE
