database,ambition_view,Region,outcome,outcome_label,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
SCI-vetted,All ambitions,R10LATIN_AM,gap_GJ_pc,DLE gap,1,1,-10.017968129809807,-10.017968129809807,-10.017968129809807,-10.017968129809807,0,1,0,1
SCI-vetted,All ambitions,R10LATIN_AM,headcount_pct,Deprived headcount,1,1,-2.0856183746343953,-2.0856183746343953,-2.0856183746343953,-2.0856183746343953,0,1,0,1
SCI-vetted,All ambitions,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,1,1,-2.2632620804837456,-2.2632620804837456,-2.2632620804837456,-2.2632620804837456,0,1,0,1
SCI-vetted,All ambitions,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,1,1,54.64514635935295,54.64514635935295,54.64514635935295,54.64514635935295,1,0,1,0
SCI-vetted,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,1,1,24.122997637480456,24.122997637480456,24.122997637480456,24.122997637480456,1,0,1,0
SCI-vetted,All ambitions,R10MIDDLE_EAST,headcount_pct,Deprived headcount,1,1,33.1137398763828,33.1137398763828,33.1137398763828,33.1137398763828,1,0,1,0
SCI-vetted,All ambitions,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,1,1,6.079821319212387,6.079821319212387,6.079821319212387,6.079821319212387,1,0,1,0
SCI-vetted,All ambitions,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,1,1,616.8262821769472,616.8262821769472,616.8262821769472,616.8262821769472,1,0,1,0
SCI-vetted,All ambitions,R10NORTH_AM,gap_GJ_pc,DLE gap,1,1,-18.82454741312868,-18.82454741312868,-18.82454741312868,-18.82454741312868,0,1,0,1
SCI-vetted,All ambitions,R10NORTH_AM,headcount_pct,Deprived headcount,1,1,-16.373609556911166,-16.373609556911166,-16.373609556911166,-16.373609556911166,0,1,0,1
