database,Region,amb,outcome,outcome_label,outcome_unit,lower_is_better,family,Model,project,n_cdr,n_re,median_cdr,median_re,comparable,robust,direction_coded_difference,relative_effect_pct,favours,matched_unit,ambition_view,target_reason
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND-MAgPIE 2.1-4.2,CEMICS,0,3,NA,740.0776022524219,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 2.1-4.2 | CEMICS | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND-MAgPIE 1.7-3.0,COMMIT,0,3,NA,726.6588313199819,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 1.7-3.0 | COMMIT | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND-MAgPIE 2.1-4.3,DeepElectrification,0,1,NA,794.9548484829987,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 2.1-4.3 | DeepElectrification | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND 3.0,ENGAGE,0,2,NA,523.1021012943252,FALSE,FALSE,NA,NA,NA,REMIND 3.0 | ENGAGE | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,0,19,NA,826.1326524680669,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 2.1-4.2 | ENGAGE | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND 3.0,NAVIGATE,1,0,369.0978178339944,NA,FALSE,FALSE,NA,NA,NA,REMIND 3.0 | NAVIGATE | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5,0,1,NA,557.7723386894081,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 3.3-4.8 | NGFS Phase 5 | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND-MAgPIE 1.7-3.0,PEP,0,13,NA,803.5691107558773,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 1.7-3.0 | PEP | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND 2.1,R2p1,0,2,NA,757.322860540341,FALSE,FALSE,NA,NA,NA,REMIND 2.1 | R2p1 | 1.5C,1.5C,Large leave-one-family-out magnitude shift
Full,Aggregated R10 regions,1.5C,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE,0,3,NA,712.2752291017148,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 3.2.0-4.8.0 | RESCUE | 1.5C,1.5C,Large leave-one-family-out magnitude shift
